cust,as_of,plan_changes_to_date,support_tickets_snapshot,logins_30d,tenure_snapshot,spend_snapshot
SUB-00000,2026-01-28T01:00:00Z,0,2,6,65,50.61
SUB-00000,2026-03-11T01:00:00Z,0,2,6,65,50.61
SUB-00001,2026-01-17T18:00:00Z,0,0,6,70,75.67
SUB-00001,2026-02-28T18:00:00Z,0,0,6,70,75.67
SUB-00002,2026-01-22T06:00:00Z,0,2,6,33,68.36
SUB-00002,2026-03-05T06:00:00Z,0,2,6,33,68.36
SUB-00003,2026-01-25T14:00:00Z,0,3,6,67,34.06
SUB-00003,2026-03-08T14:00:00Z,1,3,6,67,34.06
SUB-00003,2026-03-19T14:00:00Z,2,3,6,67,34.06
SUB-00004,2026-01-29T22:00:00Z,0,2,6,8,84.18
SUB-00004,2026-03-12T22:00:00Z,0,2,6,8,84.18
SUB-00004,2026-03-31T22:00:00Z,4,2,6,8,84.18
SUB-00005,2026-01-19T15:00:00Z,0,0,6,49,81.37
SUB-00005,2026-03-02T15:00:00Z,0,0,6,49,81.37
SUB-00006,2026-01-28T14:00:00Z,0,3,6,51,53.92
SUB-00006,2026-03-11T14:00:00Z,0,3,6,51,53.92
SUB-00006,2026-03-20T14:00:00Z,3,3,6,51,53.92
SUB-00007,2026-01-23T19:00:00Z,0,4,6,6,35.92
SUB-00007,2026-03-06T19:00:00Z,1,4,6,6,35.92
SUB-00007,2026-03-20T19:00:00Z,4,4,6,6,35.92
SUB-00008,2026-01-25T15:00:00Z,0,3,6,25,47.50
SUB-00008,2026-03-08T15:00:00Z,0,3,6,25,47.50
SUB-00008,2026-04-01T15:00:00Z,4,3,6,25,47.50
SUB-00009,2026-01-24T11:00:00Z,0,2,6,52,59.17
SUB-00009,2026-03-07T11:00:00Z,1,2,6,52,59.17
SUB-00010,2026-01-25T11:00:00Z,0,3,6,50,61.85
SUB-00010,2026-03-08T11:00:00Z,0,3,6,50,61.85
SUB-00010,2026-04-01T11:00:00Z,3,3,6,50,61.85
SUB-00011,2026-01-23T09:00:00Z,0,3,6,13,87.61
SUB-00011,2026-03-06T09:00:00Z,0,3,6,13,87.61
SUB-00011,2026-03-27T09:00:00Z,3,3,6,13,87.61
SUB-00012,2026-01-18T11:00:00Z,0,2,6,26,64.17
SUB-00012,2026-03-01T11:00:00Z,0,2,6,26,64.17
SUB-00013,2026-01-25T00:00:00Z,0,4,6,38,65.50
SUB-00013,2026-03-08T00:00:00Z,0,4,6,38,65.50
SUB-00013,2026-03-27T00:00:00Z,7,4,6,38,65.50
SUB-00014,2026-01-18T06:00:00Z,0,2,6,15,61.41
SUB-00014,2026-03-01T06:00:00Z,1,2,6,15,61.41
SUB-00014,2026-03-17T06:00:00Z,4,2,6,15,61.41
SUB-00015,2026-01-28T11:00:00Z,0,3,6,71,58.47
SUB-00015,2026-03-11T11:00:00Z,0,3,6,71,58.47
SUB-00016,2026-01-24T16:00:00Z,0,5,6,67,60.89
SUB-00016,2026-03-07T16:00:00Z,1,5,6,67,60.89
SUB-00016,2026-03-25T16:00:00Z,3,5,6,67,60.89
SUB-00017,2026-01-28T00:00:00Z,0,1,6,26,33.39
SUB-00017,2026-03-11T00:00:00Z,1,1,6,26,33.39
SUB-00017,2026-03-31T00:00:00Z,3,1,6,26,33.39
SUB-00018,2026-01-24T11:00:00Z,0,5,6,6,47.34
SUB-00018,2026-03-07T11:00:00Z,1,5,6,6,47.34
SUB-00018,2026-03-13T11:00:00Z,3,5,6,6,47.34
SUB-00019,2026-01-18T08:00:00Z,0,1,6,6,51.75
SUB-00019,2026-03-01T08:00:00Z,0,1,6,6,51.75
SUB-00019,2026-03-18T08:00:00Z,5,1,6,6,51.75
SUB-00020,2026-01-17T17:00:00Z,0,5,6,32,39.27
SUB-00020,2026-02-28T17:00:00Z,0,5,6,32,39.27
SUB-00020,2026-03-18T17:00:00Z,5,5,6,32,39.27
SUB-00021,2026-01-22T09:00:00Z,0,2,6,47,91.84
SUB-00021,2026-03-05T09:00:00Z,1,2,6,47,91.84
SUB-00022,2026-01-29T08:00:00Z,0,6,6,57,26.06
SUB-00022,2026-03-12T08:00:00Z,0,6,6,57,26.06
SUB-00022,2026-03-30T08:00:00Z,2,6,6,57,26.06
SUB-00023,2026-01-28T19:00:00Z,0,2,6,1,51.22
SUB-00023,2026-03-11T19:00:00Z,0,2,6,1,51.22
SUB-00023,2026-03-18T19:00:00Z,5,2,6,1,51.22
SUB-00024,2026-01-24T12:00:00Z,0,2,6,52,34.12
SUB-00024,2026-03-07T12:00:00Z,0,2,6,52,34.12
SUB-00025,2026-01-25T22:00:00Z,0,2,6,44,54.61
SUB-00025,2026-03-08T22:00:00Z,0,2,6,44,54.61
SUB-00026,2026-01-16T10:00:00Z,0,1,6,50,63.05
SUB-00026,2026-02-27T10:00:00Z,0,1,6,50,63.05
SUB-00027,2026-01-29T20:00:00Z,0,0,6,31,46.32
SUB-00027,2026-03-12T20:00:00Z,0,0,6,31,46.32
SUB-00028,2026-01-26T18:00:00Z,0,4,6,34,59.59
SUB-00028,2026-03-09T18:00:00Z,1,4,6,34,59.59
SUB-00028,2026-03-20T18:00:00Z,4,4,6,34,59.59
SUB-00029,2026-01-27T12:00:00Z,0,1,6,8,68.85
SUB-00029,2026-03-10T12:00:00Z,0,1,6,8,68.85
SUB-00029,2026-04-07T12:00:00Z,4,1,6,8,68.85
SUB-00030,2026-01-24T12:00:00Z,0,0,6,9,52.23
SUB-00030,2026-03-07T12:00:00Z,0,0,6,9,52.23
SUB-00031,2026-01-23T08:00:00Z,0,2,6,27,89.84
SUB-00031,2026-03-06T08:00:00Z,0,2,6,27,89.84
SUB-00032,2026-01-25T00:00:00Z,0,3,6,13,63.26
SUB-00032,2026-03-08T00:00:00Z,0,3,6,13,63.26
SUB-00032,2026-03-22T00:00:00Z,3,3,6,13,63.26
SUB-00033,2026-01-22T23:00:00Z,0,2,6,70,21.70
SUB-00033,2026-03-05T23:00:00Z,0,2,6,70,21.70
SUB-00033,2026-03-19T23:00:00Z,1,2,6,70,21.70
SUB-00034,2026-01-30T04:00:00Z,0,2,6,10,96.00
SUB-00034,2026-03-13T04:00:00Z,0,2,6,10,96.00
SUB-00034,2026-03-27T04:00:00Z,7,2,6,10,96.00
SUB-00035,2026-01-21T16:00:00Z,0,2,6,28,39.40
SUB-00035,2026-03-04T16:00:00Z,1,2,6,28,39.40
SUB-00035,2026-03-25T16:00:00Z,4,2,6,28,39.40
SUB-00036,2026-01-22T17:00:00Z,0,1,6,29,13.63
SUB-00036,2026-03-05T17:00:00Z,0,1,6,29,13.63
SUB-00036,2026-03-29T17:00:00Z,3,1,6,29,13.63
SUB-00037,2026-01-16T17:00:00Z,0,4,6,26,83.27
SUB-00037,2026-02-27T17:00:00Z,0,4,6,26,83.27
SUB-00037,2026-03-09T17:00:00Z,4,4,6,26,83.27
SUB-00038,2026-01-19T21:00:00Z,0,2,6,42,43.91
SUB-00038,2026-03-02T21:00:00Z,0,2,6,42,43.91
SUB-00039,2026-01-21T18:00:00Z,0,1,6,55,40.65
SUB-00039,2026-03-04T18:00:00Z,1,1,6,55,40.65
SUB-00040,2026-01-22T21:00:00Z,0,1,6,21,27.58
SUB-00040,2026-03-05T21:00:00Z,0,1,6,21,27.58
SUB-00040,2026-03-14T21:00:00Z,4,1,6,21,27.58
SUB-00041,2026-01-24T07:00:00Z,0,3,6,13,33.64
SUB-00041,2026-03-07T07:00:00Z,0,3,6,13,33.64
SUB-00041,2026-03-29T07:00:00Z,2,3,6,13,33.64
SUB-00042,2026-01-23T18:00:00Z,0,1,6,18,33.70
SUB-00042,2026-03-06T18:00:00Z,1,1,6,18,33.70
SUB-00042,2026-03-18T18:00:00Z,6,1,6,18,33.70
SUB-00043,2026-01-27T21:00:00Z,0,3,6,22,82.20
