subscriber,recorded_at,plan_changes_to_date
SUB-00000,2026-01-28T01:00:00Z,0
SUB-00000,2026-03-11T01:00:00Z,0
SUB-00001,2026-01-17T18:00:00Z,0
SUB-00001,2026-02-28T18:00:00Z,0
SUB-00002,2026-01-22T06:00:00Z,0
SUB-00002,2026-03-05T06:00:00Z,0
SUB-00003,2026-01-25T14:00:00Z,0
SUB-00003,2026-03-08T14:00:00Z,1
SUB-00003,2026-03-19T14:00:00Z,2
SUB-00004,2026-01-29T22:00:00Z,0
SUB-00004,2026-03-12T22:00:00Z,0
SUB-00004,2026-03-31T22:00:00Z,4
SUB-00005,2026-01-19T15:00:00Z,0
SUB-00005,2026-03-02T15:00:00Z,0
SUB-00006,2026-01-28T14:00:00Z,0
SUB-00006,2026-03-11T14:00:00Z,0
SUB-00006,2026-03-20T14:00:00Z,3
SUB-00007,2026-01-23T19:00:00Z,0
SUB-00007,2026-03-06T19:00:00Z,1
SUB-00007,2026-03-20T19:00:00Z,4
SUB-00008,2026-01-25T15:00:00Z,0
SUB-00008,2026-03-08T15:00:00Z,0
SUB-00008,2026-04-01T15:00:00Z,4
SUB-00009,2026-01-24T11:00:00Z,0
SUB-00009,2026-03-07T11:00:00Z,1
SUB-00010,2026-01-25T11:00:00Z,0
SUB-00010,2026-03-08T11:00:00Z,0
SUB-00010,2026-04-01T11:00:00Z,3
SUB-00011,2026-01-23T09:00:00Z,0
SUB-00011,2026-03-06T09:00:00Z,0
SUB-00011,2026-03-27T09:00:00Z,3
SUB-00012,2026-01-18T11:00:00Z,0
SUB-00012,2026-03-01T11:00:00Z,0
SUB-00013,2026-01-25T00:00:00Z,0
SUB-00013,2026-03-08T00:00:00Z,0
SUB-00013,2026-03-27T00:00:00Z,7
SUB-00014,2026-01-18T06:00:00Z,0
SUB-00014,2026-03-01T06:00:00Z,1
SUB-00014,2026-03-17T06:00:00Z,4
SUB-00015,2026-01-28T11:00:00Z,0
SUB-00015,2026-03-11T11:00:00Z,0
SUB-00016,2026-01-24T16:00:00Z,0
SUB-00016,2026-03-07T16:00:00Z,1
SUB-00016,2026-03-25T16:00:00Z,3
SUB-00017,2026-01-28T00:00:00Z,0
SUB-00017,2026-03-11T00:00:00Z,1
SUB-00017,2026-03-31T00:00:00Z,3
SUB-00018,2026-01-24T11:00:00Z,0
SUB-00018,2026-03-07T11:00:00Z,1
SUB-00018,2026-03-13T11:00:00Z,3
SUB-00019,2026-01-18T08:00:00Z,0
SUB-00019,2026-03-01T08:00:00Z,0
SUB-00019,2026-03-18T08:00:00Z,5
SUB-00020,2026-01-17T17:00:00Z,0
SUB-00020,2026-02-28T17:00:00Z,0
SUB-00020,2026-03-18T17:00:00Z,5
SUB-00021,2026-01-22T09:00:00Z,0
SUB-00021,2026-03-05T09:00:00Z,1
SUB-00022,2026-01-29T08:00:00Z,0
SUB-00022,2026-03-12T08:00:00Z,0
SUB-00022,2026-03-30T08:00:00Z,2
SUB-00023,2026-01-28T19:00:00Z,0
SUB-00023,2026-03-11T19:00:00Z,0
SUB-00023,2026-03-18T19:00:00Z,5
SUB-00024,2026-01-24T12:00:00Z,0
SUB-00024,2026-03-07T12:00:00Z,0
SUB-00025,2026-01-25T22:00:00Z,0
SUB-00025,2026-03-08T22:00:00Z,0
SUB-00026,2026-01-16T10:00:00Z,0
SUB-00026,2026-02-27T10:00:00Z,0
SUB-00027,2026-01-29T20:00:00Z,0
SUB-00027,2026-03-12T20:00:00Z,0
SUB-00028,2026-01-26T18:00:00Z,0
SUB-00028,2026-03-09T18:00:00Z,1
SUB-00028,2026-03-20T18:00:00Z,4
SUB-00029,2026-01-27T12:00:00Z,0
SUB-00029,2026-03-10T12:00:00Z,0
SUB-00029,2026-04-07T12:00:00Z,4
SUB-00030,2026-01-24T12:00:00Z,0
SUB-00030,2026-03-07T12:00:00Z,0
SUB-00031,2026-01-23T08:00:00Z,0
SUB-00031,2026-03-06T08:00:00Z,0
SUB-00032,2026-01-25T00:00:00Z,0
SUB-00032,2026-03-08T00:00:00Z,0
SUB-00032,2026-03-22T00:00:00Z,3
SUB-00033,2026-01-22T23:00:00Z,0
SUB-00033,2026-03-05T23:00:00Z,0
SUB-00033,2026-03-19T23:00:00Z,1
SUB-00034,2026-01-30T04:00:00Z,0
SUB-00034,2026-03-13T04:00:00Z,0
SUB-00034,2026-03-27T04:00:00Z,7
SUB-00035,2026-01-21T16:00:00Z,0
SUB-00035,2026-03-04T16:00:00Z,1
SUB-00035,2026-03-25T16:00:00Z,4
SUB-00036,2026-01-22T17:00:00Z,0
SUB-00036,2026-03-05T17:00:00Z,0
SUB-00036,2026-03-29T17:00:00Z,3
SUB-00037,2026-01-16T17:00:00Z,0
SUB-00037,2026-02-27T17:00:00Z,0
SUB-00037,2026-03-09T17:00:00Z,4
SUB-00038,2026-01-19T21:00:00Z,0
SUB-00038,2026-03-02T21:00:00Z,0
SUB-00039,2026-01-21T18:00:00Z,0
SUB-00039,2026-03-04T18:00:00Z,1
SUB-00040,2026-01-22T21:00:00Z,0
SUB-00040,2026-03-05T21:00:00Z,0
SUB-00040,2026-03-14T21:00:00Z,4
SUB-00041,2026-01-24T07:00:00Z,0
SUB-00041,2026-03-07T07:00:00Z,0
SUB-00041,2026-03-29T07:00:00Z,2
SUB-00042,2026-01-23T18:00:00Z,0
SUB-00042,2026-03-06T18:00:00Z,1
SUB-00042,2026-03-18T18:00:00Z,6
SUB-00043,2026-01-27T21:00:00Z,0
SUB-00043,2026-03-10T21:00:00Z,0
SUB-00043,2026-03-30T21:00:00Z,5
SUB-00044,2026-01-19T20:00:00Z,0
SUB-00044,2026-03-02T20:00:00Z,1
SUB-00045,2026-01-18T04:00:00Z,0
SUB-00045,2026-03-01T04:00:00Z,0
SUB-00045,2026-03-22T04:00:00Z,5
SUB-00046,2026-01-18T22:00:00Z,0
SUB-00046,2026-03-01T22:00:00Z,0
SUB-00046,2026-03-24T22:00:00Z,4
SUB-00047,2026-01-26T10:00:00Z,0
SUB-00047,2026-03-09T10:00:00Z,0
SUB-00047,2026-04-03T10:00:00Z,4
SUB-00048,2026-01-29T04:00:00Z,1
SUB-00048,2026-03-12T04:00:00Z,2
SUB-00049,2026-01-23T11:00:00Z,0
SUB-00049,2026-03-06T11:00:00Z,0
SUB-00049,2026-03-24T11:00:00Z,7
SUB-00050,2026-01-16T17:00:00Z,0
SUB-00050,2026-02-27T17:00:00Z,0
SUB-00051,2026-01-17T20:00:00Z,0
SUB-00051,2026-02-28T20:00:00Z,0
SUB-00052,2026-01-17T05:00:00Z,0
SUB-00052,2026-02-28T05:00:00Z,0
SUB-00052,2026-03-14T05:00:00Z,4
SUB-00053,2026-01-23T21:00:00Z,0
SUB-00053,2026-03-06T21:00:00Z,0
SUB-00053,2026-03-16T21:00:00Z,6
SUB-00054,2026-01-23T23:00:00Z,0
SUB-00054,2026-03-06T23:00:00Z,0
SUB-00054,2026-03-31T23:00:00Z,4
SUB-00055,2026-01-21T18:00:00Z,0
SUB-00055,2026-03-04T18:00:00Z,0
SUB-00056,2026-01-26T06:00:00Z,0
SUB-00056,2026-03-09T06:00:00Z,1
SUB-00056,2026-04-06T06:00:00Z,2
SUB-00057,2026-01-20T06:00:00Z,2
SUB-00057,2026-03-03T06:00:00Z,3
SUB-00057,2026-03-23T06:00:00Z,7
SUB-00058,2026-01-25T04:00:00Z,0
SUB-00058,2026-03-08T04:00:00Z,0
SUB-00059,2026-01-26T06:00:00Z,0
SUB-00059,2026-03-09T06:00:00Z,1
SUB-00060,2026-01-23T16:00:00Z,0
SUB-00060,2026-03-06T16:00:00Z,0
SUB-00061,2026-01-28T21:00:00Z,0
SUB-00061,2026-03-11T21:00:00Z,0
SUB-00062,2026-01-16T12:00:00Z,0
SUB-00062,2026-02-27T12:00:00Z,1
SUB-00062,2026-03-17T12:00:00Z,3
SUB-00063,2026-01-26T07:00:00Z,0
SUB-00063,2026-03-09T07:00:00Z,0
SUB-00063,2026-03-24T07:00:00Z,2
SUB-00064,2026-01-26T02:00:00Z,0
SUB-00064,2026-03-09T02:00:00Z,0
SUB-00065,2026-01-24T20:00:00Z,0
SUB-00065,2026-03-07T20:00:00Z,1
SUB-00066,2026-01-18T01:00:00Z,0
SUB-00066,2026-03-01T01:00:00Z,0
SUB-00066,2026-03-26T01:00:00Z,1
SUB-00067,2026-01-22T12:00:00Z,1
SUB-00067,2026-03-05T12:00:00Z,2
SUB-00068,2026-01-17T11:00:00Z,0
SUB-00068,2026-02-28T11:00:00Z,0
SUB-00068,2026-03-18T11:00:00Z,2
SUB-00069,2026-01-22T12:00:00Z,0
SUB-00069,2026-03-05T12:00:00Z,1
SUB-00069,2026-03-24T12:00:00Z,7
SUB-00070,2026-01-24T10:00:00Z,0
SUB-00070,2026-03-07T10:00:00Z,0
SUB-00070,2026-04-02T10:00:00Z,2
SUB-00071,2026-01-21T23:00:00Z,0
SUB-00071,2026-03-04T23:00:00Z,1
SUB-00072,2026-01-16T09:00:00Z,1
SUB-00072,2026-02-27T09:00:00Z,2
SUB-00072,2026-03-21T09:00:00Z,3
SUB-00073,2026-01-25T02:00:00Z,0
SUB-00073,2026-03-08T02:00:00Z,0
SUB-00074,2026-01-29T22:00:00Z,0
SUB-00074,2026-03-12T22:00:00Z,0
SUB-00075,2026-01-21T21:00:00Z,0
SUB-00075,2026-03-04T21:00:00Z,0
SUB-00075,2026-03-25T21:00:00Z,6
SUB-00076,2026-01-24T08:00:00Z,0
SUB-00076,2026-03-07T08:00:00Z,0
SUB-00076,2026-03-18T08:00:00Z,3
SUB-00077,2026-01-25T02:00:00Z,0
SUB-00077,2026-03-08T02:00:00Z,0
SUB-00077,2026-03-18T02:00:00Z,2
SUB-00078,2026-01-20T08:00:00Z,0
SUB-00078,2026-03-03T08:00:00Z,0
SUB-00079,2026-01-23T12:00:00Z,0
SUB-00079,2026-03-06T12:00:00Z,0
SUB-00079,2026-03-14T12:00:00Z,4
SUB-00080,2026-01-16T21:00:00Z,0
SUB-00080,2026-02-27T21:00:00Z,0
SUB-00081,2026-01-24T09:00:00Z,0
SUB-00081,2026-03-07T09:00:00Z,0
SUB-00081,2026-03-29T09:00:00Z,4
SUB-00082,2026-01-20T13:00:00Z,0
SUB-00082,2026-03-03T13:00:00Z,0
SUB-00083,2026-01-19T08:00:00Z,0
SUB-00083,2026-03-02T08:00:00Z,0
SUB-00083,2026-03-19T08:00:00Z,5
SUB-00084,2026-01-29T08:00:00Z,0
SUB-00084,2026-03-12T08:00:00Z,0
SUB-00084,2026-03-23T08:00:00Z,3
SUB-00085,2026-01-17T11:00:00Z,0
SUB-00085,2026-02-28T11:00:00Z,0
SUB-00085,2026-03-26T11:00:00Z,3
SUB-00086,2026-01-26T16:00:00Z,0
SUB-00086,2026-03-09T16:00:00Z,0
SUB-00086,2026-03-26T16:00:00Z,2
SUB-00087,2026-01-20T06:00:00Z,0
SUB-00087,2026-03-03T06:00:00Z,0
SUB-00088,2026-01-21T14:00:00Z,0
SUB-00088,2026-03-04T14:00:00Z,0
SUB-00089,2026-01-22T05:00:00Z,0
SUB-00089,2026-03-05T05:00:00Z,0
SUB-00090,2026-01-27T16:00:00Z,0
SUB-00090,2026-03-10T16:00:00Z,0
SUB-00090,2026-03-17T16:00:00Z,3
SUB-00091,2026-01-19T11:00:00Z,0
SUB-00091,2026-03-02T11:00:00Z,0
SUB-00091,2026-03-30T11:00:00Z,4
SUB-00092,2026-01-25T07:00:00Z,0
SUB-00092,2026-03-08T07:00:00Z,0
SUB-00093,2026-01-28T16:00:00Z,0
SUB-00093,2026-03-11T16:00:00Z,0
SUB-00094,2026-01-18T12:00:00Z,0
SUB-00094,2026-03-01T12:00:00Z,1
SUB-00095,2026-01-19T16:00:00Z,0
SUB-00095,2026-03-02T16:00:00Z,0
SUB-00096,2026-01-30T06:00:00Z,0
SUB-00096,2026-03-13T06:00:00Z,0
SUB-00096,2026-03-18T06:00:00Z,6
SUB-00097,2026-01-25T22:00:00Z,0
SUB-00097,2026-03-08T22:00:00Z,0
SUB-00098,2026-01-24T02:00:00Z,0
SUB-00098,2026-03-07T02:00:00Z,1
SUB-00099,2026-01-26T12:00:00Z,0
SUB-00099,2026-03-09T12:00:00Z,0
SUB-00099,2026-03-16T12:00:00Z,5
SUB-00100,2026-01-17T04:00:00Z,0
SUB-00100,2026-02-28T04:00:00Z,0
SUB-00100,2026-03-17T04:00:00Z,5
SUB-00101,2026-01-28T00:00:00Z,0
SUB-00101,2026-03-11T00:00:00Z,0
SUB-00102,2026-01-22T16:00:00Z,0
SUB-00102,2026-03-05T16:00:00Z,1
SUB-00102,2026-04-02T16:00:00Z,4
SUB-00103,2026-01-19T09:00:00Z,0
SUB-00103,2026-03-02T09:00:00Z,0
SUB-00103,2026-03-22T09:00:00Z,5
SUB-00104,2026-01-18T10:00:00Z,0
SUB-00104,2026-03-01T10:00:00Z,0
SUB-00104,2026-03-07T10:00:00Z,4
SUB-00105,2026-01-22T13:00:00Z,0
SUB-00105,2026-03-05T13:00:00Z,0
SUB-00105,2026-03-10T13:00:00Z,4
SUB-00106,2026-01-20T23:00:00Z,0
SUB-00106,2026-03-03T23:00:00Z,0
SUB-00107,2026-01-29T09:00:00Z,0
SUB-00107,2026-03-12T09:00:00Z,0
SUB-00107,2026-03-21T09:00:00Z,3
SUB-00108,2026-01-29T14:00:00Z,1
SUB-00108,2026-03-12T14:00:00Z,2
SUB-00109,2026-01-17T10:00:00Z,0
SUB-00109,2026-02-28T10:00:00Z,0
SUB-00110,2026-01-21T06:00:00Z,0
SUB-00110,2026-03-04T06:00:00Z,0
SUB-00111,2026-01-28T18:00:00Z,0
SUB-00111,2026-03-11T18:00:00Z,0
SUB-00112,2026-01-29T03:00:00Z,0
SUB-00112,2026-03-12T03:00:00Z,0
SUB-00112,2026-04-06T03:00:00Z,1
SUB-00113,2026-01-24T03:00:00Z,0
SUB-00113,2026-03-07T03:00:00Z,0
SUB-00114,2026-01-19T07:00:00Z,0
SUB-00114,2026-03-02T07:00:00Z,0
SUB-00114,2026-03-10T07:00:00Z,5
SUB-00115,2026-01-16T15:00:00Z,0
SUB-00115,2026-02-27T15:00:00Z,0
SUB-00115,2026-03-28T15:00:00Z,3
SUB-00116,2026-01-21T05:00:00Z,0
