subscriber_key,decided_at,churned_within_90d,eval_split,tenure_months,monthly_spend_usd,support_tickets_90d
SUB-00000,2026-03-14T01:00:00Z,0,train,65,50.61,2
SUB-00001,2026-03-03T18:00:00Z,0,train,70,75.67,0
SUB-00002,2026-03-08T06:00:00Z,0,train,33,68.36,2
SUB-00003,2026-03-11T14:00:00Z,0,train,67,34.06,3
SUB-00004,2026-03-15T22:00:00Z,1,train,8,84.18,2
SUB-00005,2026-03-05T15:00:00Z,0,train,49,81.37,0
SUB-00006,2026-03-14T14:00:00Z,1,train,51,53.92,3
SUB-00007,2026-03-09T19:00:00Z,1,train,6,35.92,4
SUB-00008,2026-03-11T15:00:00Z,1,train,25,47.50,3
SUB-00009,2026-03-10T11:00:00Z,0,train,52,59.17,2
SUB-00010,2026-03-11T11:00:00Z,1,train,50,61.85,3
SUB-00011,2026-03-09T09:00:00Z,1,train,13,87.61,3
SUB-00012,2026-03-04T11:00:00Z,0,train,26,64.17,2
SUB-00013,2026-03-11T00:00:00Z,1,train,38,65.50,4
SUB-00014,2026-03-04T06:00:00Z,1,train,15,61.41,2
SUB-00015,2026-03-14T11:00:00Z,0,train,71,58.47,3
SUB-00016,2026-03-10T16:00:00Z,1,train,67,60.89,5
SUB-00017,2026-03-14T00:00:00Z,1,train,26,33.39,1
SUB-00018,2026-03-10T11:00:00Z,1,train,6,47.34,5
SUB-00019,2026-03-04T08:00:00Z,1,train,6,51.75,1
SUB-00020,2026-03-03T17:00:00Z,1,train,32,39.27,5
SUB-00021,2026-03-08T09:00:00Z,0,train,47,91.84,2
SUB-00022,2026-03-15T08:00:00Z,1,train,57,26.06,6
SUB-00023,2026-03-14T19:00:00Z,1,train,1,51.22,2
SUB-00024,2026-03-10T12:00:00Z,0,train,52,34.12,2
SUB-00025,2026-03-11T22:00:00Z,0,train,44,54.61,2
SUB-00026,2026-03-02T10:00:00Z,0,train,50,63.05,1
SUB-00027,2026-03-15T20:00:00Z,0,train,31,46.32,0
SUB-00028,2026-03-12T18:00:00Z,1,train,34,59.59,4
SUB-00029,2026-03-13T12:00:00Z,1,train,8,68.85,1
SUB-00030,2026-03-10T12:00:00Z,0,train,9,52.23,0
SUB-00031,2026-03-09T08:00:00Z,0,train,27,89.84,2
SUB-00032,2026-03-11T00:00:00Z,1,train,13,63.26,3
SUB-00033,2026-03-08T23:00:00Z,0,train,70,21.70,2
SUB-00034,2026-03-16T04:00:00Z,1,train,10,96.00,2
SUB-00035,2026-03-07T16:00:00Z,1,train,28,39.40,2
SUB-00036,2026-03-08T17:00:00Z,1,train,29,13.63,1
SUB-00037,2026-03-02T17:00:00Z,1,train,26,83.27,4
SUB-00038,2026-03-05T21:00:00Z,0,train,42,43.91,2
SUB-00039,2026-03-07T18:00:00Z,0,train,55,40.65,1
SUB-00040,2026-03-08T21:00:00Z,1,train,21,27.58,1
SUB-00041,2026-03-10T07:00:00Z,1,train,13,33.64,3
SUB-00042,2026-03-09T18:00:00Z,1,train,18,33.70,1
SUB-00043,2026-03-13T21:00:00Z,1,train,22,82.20,3
SUB-00044,2026-03-05T20:00:00Z,0,train,68,64.95,4
SUB-00045,2026-03-04T04:00:00Z,1,train,11,52.22,4
SUB-00046,2026-03-04T22:00:00Z,1,train,9,69.72,4
SUB-00047,2026-03-12T10:00:00Z,1,train,5,72.28,1
SUB-00048,2026-03-15T04:00:00Z,0,train,63,75.04,3
SUB-00049,2026-03-09T11:00:00Z,1,train,5,60.03,3
SUB-00050,2026-03-02T17:00:00Z,0,train,5,70.61,0
SUB-00051,2026-03-03T20:00:00Z,0,train,56,56.95,0
SUB-00052,2026-03-03T05:00:00Z,1,train,19,60.43,3
SUB-00053,2026-03-09T21:00:00Z,1,train,28,91.57,2
SUB-00054,2026-03-09T23:00:00Z,1,train,12,46.80,1
SUB-00055,2026-03-07T18:00:00Z,0,train,29,26.52,1
SUB-00056,2026-03-12T06:00:00Z,0,train,68,53.57,2
SUB-00057,2026-03-06T06:00:00Z,1,train,17,83.23,3
SUB-00058,2026-03-11T04:00:00Z,0,train,26,75.53,2
SUB-00059,2026-03-12T06:00:00Z,0,train,60,30.99,1
SUB-00060,2026-03-09T16:00:00Z,0,train,33,78.70,4
SUB-00061,2026-03-14T21:00:00Z,0,train,60,42.18,1
SUB-00062,2026-03-02T12:00:00Z,1,train,17,53.31,5
SUB-00063,2026-03-12T07:00:00Z,1,train,25,56.21,1
SUB-00064,2026-03-12T02:00:00Z,0,train,61,61.86,1
SUB-00065,2026-03-10T20:00:00Z,0,train,61,59.04,0
SUB-00066,2026-03-04T01:00:00Z,1,train,18,55.49,4
SUB-00067,2026-03-08T12:00:00Z,0,train,71,50.21,1
SUB-00068,2026-03-03T11:00:00Z,1,train,32,52.26,3
SUB-00069,2026-03-08T12:00:00Z,1,train,34,64.22,5
SUB-00070,2026-03-10T10:00:00Z,1,train,10,29.38,3
SUB-00071,2026-03-07T23:00:00Z,0,train,50,90.37,3
SUB-00072,2026-03-02T09:00:00Z,1,train,42,62.52,4
SUB-00073,2026-03-11T02:00:00Z,0,train,64,79.20,3
SUB-00074,2026-03-15T22:00:00Z,0,train,61,83.53,4
SUB-00075,2026-03-07T21:00:00Z,1,train,16,42.78,1
SUB-00076,2026-03-10T08:00:00Z,1,train,8,71.72,2
SUB-00077,2026-03-11T02:00:00Z,1,train,6,48.80,3
SUB-00078,2026-03-06T08:00:00Z,0,train,20,88.81,1
SUB-00079,2026-03-09T12:00:00Z,1,train,23,55.20,3
SUB-00080,2026-03-02T21:00:00Z,0,train,54,116.46,1
SUB-00081,2026-03-10T09:00:00Z,1,train,30,39.47,5
SUB-00082,2026-03-06T13:00:00Z,0,train,26,34.58,1
SUB-00083,2026-03-05T08:00:00Z,1,train,69,25.51,5
SUB-00084,2026-03-15T08:00:00Z,1,train,5,69.25,2
SUB-00085,2026-03-03T11:00:00Z,1,train,49,59.93,3
SUB-00086,2026-03-12T16:00:00Z,1,train,7,73.70,3
SUB-00087,2026-03-06T06:00:00Z,0,train,69,74.63,0
SUB-00088,2026-03-07T14:00:00Z,0,train,68,76.34,1
SUB-00089,2026-03-08T05:00:00Z,0,train,64,38.60,2
SUB-00090,2026-03-13T16:00:00Z,1,train,49,40.25,5
SUB-00091,2026-03-05T11:00:00Z,1,train,22,45.67,4
SUB-00092,2026-03-11T07:00:00Z,0,train,52,57.57,2
SUB-00093,2026-03-14T16:00:00Z,0,train,63,64.91,3
SUB-00094,2026-03-04T12:00:00Z,0,train,22,70.47,1
SUB-00095,2026-03-05T16:00:00Z,0,train,31,68.37,3
SUB-00096,2026-03-16T06:00:00Z,1,train,27,69.04,4
SUB-00097,2026-03-11T22:00:00Z,0,train,43,69.10,2
SUB-00098,2026-03-10T02:00:00Z,0,train,24,47.67,0
SUB-00099,2026-03-12T12:00:00Z,1,train,6,43.03,3
SUB-00100,2026-03-03T04:00:00Z,1,train,11,60.84,2
SUB-00101,2026-03-14T00:00:00Z,0,train,7,51.44,0
SUB-00102,2026-03-08T16:00:00Z,1,train,11,36.69,3
SUB-00103,2026-03-05T09:00:00Z,1,train,33,84.76,5
SUB-00104,2026-03-04T10:00:00Z,1,train,14,25.23,2
SUB-00105,2026-03-08T13:00:00Z,1,train,16,84.10,3
SUB-00106,2026-03-06T23:00:00Z,0,train,69,66.39,5
SUB-00107,2026-03-15T09:00:00Z,1,train,45,77.37,8
SUB-00108,2026-03-15T14:00:00Z,0,train,67,60.66,2
SUB-00109,2026-03-03T10:00:00Z,0,train,71,53.67,2
SUB-00110,2026-03-07T06:00:00Z,0,train,69,48.03,3
SUB-00111,2026-03-14T18:00:00Z,0,train,68,43.10,3
